batch,bits,block_k,block_m,block_n,cols,dense_full_ms,dense_selected_ms,high_rows,latency_ms,low_rows,model,module,ok,rel_l2_vs_dense_selected,rows,runtime,selected_rows,speedup_vs_dense_full,speedup_vs_dense_selected
64,4,,,,1024,0.017053187499982414,0.013224037499881547,0,0.013153275000021836,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16409790515899658,2048,cached_selected,256,1.2964974502512951,1.0053798388507496
64,4,128,32,16,1024,0.017053187499982414,0.013224037499881547,0,0.0463127374999317,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16409781575202942,2048,triton_selected,256,0.36821808471173967,0.2855378069564782
1,4,,,,1024,0.11015094999997643,0.03183723749984324,0,0.11015094999997643,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,16,1.0,0.2890327999881077
1,4,,,,1024,0.11015094999997643,0.03183723749984324,0,0.03183723749984324,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,16,3.459814941560768,1.0
1,4,,,,1024,0.11015094999997643,0.03183723749984324,0,0.017522950000170567,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1696338951587677,1024,cached_selected,16,6.2860962337337165,1.8168879954307544
1,4,128,32,16,1024,0.11015094999997643,0.03183723749984324,0,0.20710806250008318,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1696338951587677,1024,triton_selected,16,0.5318525443688712,0.1537228300797341
1,4,,,,1024,0.11015094999997643,0.10051362500007599,0,0.11015094999997643,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,64,1.0,0.912508017407907
1,4,,,,1024,0.11015094999997643,0.10051362500007599,0,0.10051362500007599,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,64,1.0958807823306855,1.0
1,4,,,,1024,0.11015094999997643,0.10051362500007599,0,0.09988028749994271,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19575394690036774,1024,cached_selected,64,1.1028297250349786,1.0063409659301756
1,4,128,32,16,1024,0.11015094999997643,0.10051362500007599,0,0.09542233750003959,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.19575394690036774,1024,triton_selected,64,1.1543518308795435,1.05335530058708
1,4,,,,1024,0.11015094999997643,0.018365812499965273,0,0.11015094999997643,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,256,1.0,0.16673312849293812
1,4,,,,1024,0.11015094999997643,0.018365812499965273,0,0.018365812499965273,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,256,5.997608327983568,1.0
1,4,,,,1024,0.11015094999997643,0.018365812499965273,0,0.014968862500097657,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14065085351467133,1024,cached_selected,256,7.358672043333807,1.2269344113385672
1,4,128,32,16,1024,0.11015094999997643,0.018365812499965273,0,0.04916153750009755,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14065085351467133,1024,triton_selected,256,2.2405920481994253,0.3735809218726902
12,4,,,,1024,0.019498349999835796,0.01539203749985063,0,0.019498349999835796,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,16,1.0,0.7894020519674871
12,4,,,,1024,0.019498349999835796,0.01539203749985063,0,0.01539203749985063,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,16,1.2667816070500748,1.0
12,4,,,,1024,0.019498349999835796,0.01539203749985063,0,0.027251474999800962,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.13056479394435883,1024,cached_selected,16,0.715497051076252,0.5648148402962794
12,4,128,32,16,1024,0.019498349999835796,0.01539203749985063,0,0.053829287499951306,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.13056479394435883,1024,triton_selected,16,0.3622256750073728,0.2859416911261282
12,4,,,,1024,0.019498349999835796,0.017162024999706205,0,0.019498349999835796,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,64,1.0,0.880178322773503
12,4,,,,1024,0.019498349999835796,0.017162024999706205,0,0.017162024999706205,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,64,1.1361334108398973,1.0
12,4,,,,1024,0.019498349999835796,0.017162024999706205,0,0.012281750000298075,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.16435930132865906,1024,cached_selected,64,1.5875872737486576,1.3973599038646518
12,4,128,32,16,1024,0.019498349999835796,0.017162024999706205,0,0.054295687499816836,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.16435931622982025,1024,triton_selected,64,0.3591141561639048,0.31608449565656754
12,4,,,,1024,0.019498349999835796,0.03330450000014196,0,0.019498349999835796,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,256,1.0,1.7080676057421489
12,4,,,,1024,0.019498349999835796,0.03330450000014196,0,0.03330450000014196,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,256,0.5854569202285783,1.0
12,4,,,,1024,0.019498349999835796,0.03330450000014196,0,0.03241818750012726,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15379005670547485,1024,cached_selected,256,0.6014632989509131,1.0273399769808604
12,4,128,32,16,1024,0.019498349999835796,0.03330450000014196,0,0.04749987500005659,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1537948101758957,1024,triton_selected,256,0.4104926591872624,0.7011492135527152
64,4,,,,1024,0.018429562500088537,0.04158249999974828,0,0.018429562500088537,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,16,1.0,2.25629338729818
64,4,,,,1024,0.018429562500088537,0.04158249999974828,0,0.04158249999974828,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,16,0.4432047736475705,1.0
64,4,,,,1024,0.018429562500088537,0.04158249999974828,0,0.03711261250032294,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14340652525424957,1024,cached_selected,16,0.4965848874133604,1.1204411977029762
64,4,128,32,16,1024,0.018429562500088537,0.04158249999974828,0,0.0533785625002281,16,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1434110403060913,1024,triton_selected,16,0.34526149893994956,0.7790112369468658
64,4,,,,1024,0.018429562500088537,0.0336403875000002,0,0.018429562500088537,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,64,1.0,1.82534921812922
64,4,,,,1024,0.018429562500088537,0.0336403875000002,0,0.0336403875000002,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,64,0.5478403749091305,1.0
64,4,,,,1024,0.018429562500088537,0.0336403875000002,0,0.03874108749997163,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1514263153076172,1024,cached_selected,64,0.4757110264419406,0.868338750171245
64,4,128,32,16,1024,0.018429562500088537,0.0336403875000002,0,0.048980575000001636,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1514330953359604,1024,triton_selected,64,0.3762626816873408,0.686810791829191
64,4,,,,1024,0.018429562500088537,0.018819687500126747,0,0.018429562500088537,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_full,256,1.0,1.0211684352266277
64,4,,,,1024,0.018429562500088537,0.018819687500126747,0,0.018819687500126747,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense_selected,256,0.9792703784249561,1.0
64,4,,,,1024,0.018429562500088537,0.018819687500126747,0,0.014591987500267578,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14685769379138947,1024,cached_selected,256,1.2629919330557668,1.2897274959824112
64,4,128,32,16,1024,0.018429562500088537,0.018819687500126747,0,0.03935099999985425,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14685770869255066,1024,triton_selected,256,0.4683378440231962,0.47825182333857974
1,8,,,,1024,0.016497262500081433,0.014476912499716832,16,0.016497262500081433,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,16,1.0,0.8775342272480281
1,8,,,,1024,0.016497262500081433,0.014476912499716832,16,0.014476912499716832,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,16,1.1395566907242216,1.0
1,8,,,,1024,0.016497262500081433,0.014476912499716832,16,0.01312948750005205,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.010826772078871727,1024,cached_selected,16,1.2565046807817923,1.1026258640833801
1,8,128,32,16,1024,0.016497262500081433,0.014476912499716832,16,0.03834332500005644,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.010826772078871727,1024,triton_selected,16,0.4302512236499352,0.37756017506816436
1,8,,,,1024,0.016497262500081433,0.013481024999961733,64,0.016497262500081433,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,64,1.0,0.8171673936748711
1,8,,,,1024,0.016497262500081433,0.013481024999961733,64,0.013481024999961733,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,64,1.2237394782761892,1.0
1,8,,,,1024,0.016497262500081433,0.013481024999961733,64,0.02011477500012404,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.007681084796786308,1024,cached_selected,64,0.8201564521591567,0.6702051104165272
1,8,128,32,16,1024,0.016497262500081433,0.013481024999961733,64,0.1320260749999136,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.007681084796786308,1024,triton_selected,64,0.12495457810203198,0.10210880691538059
1,8,,,,1024,0.016497262500081433,0.06853939999977854,256,0.016497262500081433,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,256,1.0,4.154592314903168
1,8,,,,1024,0.016497262500081433,0.06853939999977854,256,0.06853939999977854,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,256,0.24069750391942063,1.0
1,8,,,,1024,0.016497262500081433,0.06853939999977854,256,0.058381212499725166,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.009140068665146828,1024,cached_selected,256,0.28257827807463054,1.1739975424474303
1,8,128,32,16,1024,0.016497262500081433,0.06853939999977854,256,0.03842409999990082,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.009140615351498127,1024,triton_selected,256,0.42934675113077514,1.783760712676561
12,8,,,,1024,0.016255175000168265,0.021756275000228698,16,0.016255175000168265,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_full,16,1.0,1.3384214565517436
12,8,,,,1024,0.016255175000168265,0.021756275000228698,16,0.021756275000228698,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense_selected,16,0.747148811090014,1.0
12,8,,,,1024,0.016255175000168265,0.021756275000228698,16,0.019373862500060568,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00741916336119175,1024,cached_selected,16,0.8390260331473627,1.1229704453699247
