batch,bits,block_k,block_m,block_n,cols,dense_full_ms,dense_selected_ms,high_rows,latency_ms,low_rows,model,module,ok,rel_l2_vs_dense_selected,rows,selected_rows,speedup_vs_dense_full,speedup_vs_dense_selected
12,4,64,32,8,1024,0.016474625000029164,0.014536175000046114,0,0.04487922499993857,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1703139692544937,1024,64,0.367088001186556,0.32389541040572806
12,4,64,32,16,1024,0.016474625000029164,0.014536175000046114,0,0.04690107499989438,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1703139692544937,1024,64,0.35126327061941043,0.3099326614598674
12,4,128,32,16,1024,0.016474625000029164,0.014536175000046114,0,0.045449075000014716,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1703139692544937,1024,64,0.3624853751154194,0.31983434206397837
12,4,128,64,16,1024,0.016474625000029164,0.014536175000046114,0,0.04239274999999765,64,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1703139692544937,1024,64,0.38861892658603364,0.3428929474980255
12,4,64,16,8,1024,0.016474625000029164,0.04245512500009596,0,0.04879942500011225,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15091684460639954,1024,256,0.3375987524441378,0.8699923206062019
12,4,64,16,16,1024,0.016474625000029164,0.04245512500009596,0,0.04532132499992514,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15091684460639954,1024,256,0.3635071348875254,0.9367582479145543
12,4,64,32,8,1024,0.016474625000029164,0.04245512500009596,0,0.045183549999983086,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15091684460639954,1024,256,0.3646155514570088,0.9396146385158283
12,4,64,32,16,1024,0.016474625000029164,0.04245512500009596,0,0.04772714999994321,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15091684460639954,1024,256,0.3451835066633723,0.8895382397680666
12,4,128,32,16,1024,0.016474625000029164,0.04245512500009596,0,0.04566925000002442,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15091684460639954,1024,256,0.3607378049786312,0.9296216819867473
12,4,128,64,16,1024,0.016474625000029164,0.04245512500009596,0,0.055235975000123005,256,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15091684460639954,1024,256,0.29825896981075245,0.7686136616580302
1,8,64,16,8,1024,0.01653474999994131,0.01278885000015606,64,0.03972192499990257,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008018666878342628,1024,64,0.41626255525083106,0.3219594720091594
1,8,64,16,16,1024,0.01653474999994131,0.01278885000015606,64,0.048570999999952846,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008018666878342628,1024,64,0.34042432727259814,0.263302176199141
1,8,64,32,8,1024,0.01653474999994131,0.01278885000015606,64,0.04148452499990185,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008018666878342628,1024,64,0.39857633659733194,0.30828001526319315
1,8,64,32,16,1024,0.01653474999994131,0.01278885000015606,64,0.03711419999987697,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008018666878342628,1024,64,0.4455100743110756,0.3445810498461088
1,8,128,32,16,1024,0.01653474999994131,0.01278885000015606,64,0.04127084999989705,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008018666878342628,1024,64,0.40063991897386547,0.3098760989945194
1,8,128,64,16,1024,0.01653474999994131,0.01278885000015606,64,0.04343997500004804,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008018666878342628,1024,64,0.3806344271589251,0.2944027937433647
1,8,64,16,8,1024,0.01653474999994131,0.01330157500003537,256,0.04034332499998072,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0074957977049052715,1024,256,0.40985094807999123,0.329709437683724
1,8,64,16,16,1024,0.01653474999994131,0.01330157500003537,256,0.041513550000082944,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0074957977049052715,1024,256,0.39829766425440066,0.3204152620050271
1,8,64,32,8,1024,0.01653474999994131,0.01330157500003537,256,0.04392292500003947,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0074957977049052715,1024,256,0.37644920050125197,0.3028390071932463
1,8,64,32,16,1024,0.01653474999994131,0.01330157500003537,256,0.16432144999996012,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0074957977049052715,1024,256,0.10062441634944996,0.08094850063724851
1,8,128,32,16,1024,0.01653474999994131,0.01330157500003537,256,0.0420475750001259,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0074957977049052715,1024,256,0.393239086912665,0.31634582969399644
1,8,128,64,16,1024,0.01653474999994131,0.01330157500003537,256,0.043621350000044856,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0074957977049052715,1024,256,0.3790517716651206,0.3049326763161088
12,8,64,16,8,1024,0.016083124999966003,0.05019262499992294,64,0.04351240000008971,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008377114310860634,1024,64,0.36962164808038267,1.1535246274583673
12,8,64,16,16,1024,0.016083124999966003,0.05019262499992294,64,0.04273237499994309,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008377114310860634,1024,64,0.3763686198107974,1.1745807482029675
12,8,64,32,8,1024,0.016083124999966003,0.05019262499992294,64,0.04538620000005267,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008377114310860634,1024,64,0.3543615680525653,1.1059005821122874
12,8,64,32,16,1024,0.016083124999966003,0.05019262499992294,64,0.03831322499987522,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008377114310860634,1024,64,0.4197799845880472,1.3100600380178493
12,8,128,32,16,1024,0.016083124999966003,0.05019262499992294,64,0.04707065000015831,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008377114310860634,1024,64,0.34168053765800793,1.0663253003677267
12,8,128,64,16,1024,0.016083124999966003,0.05019262499992294,64,0.08605839999997755,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008377114310860634,1024,64,0.18688617264520602,0.5832391143681039
12,8,64,16,8,1024,0.016083124999966003,0.06561322500004962,256,0.041229300000011904,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00840085744857788,1024,256,0.3900896934937377,1.5914222409798537
12,8,64,16,16,1024,0.016083124999966003,0.06561322500004962,256,0.04228855000008025,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00840085744857788,1024,256,0.3803186678175412,1.5515600558525915
12,8,64,32,8,1024,0.016083124999966003,0.06561322500004962,256,0.15654789999999252,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00840085744857788,1024,256,0.10273612740871498,0.41912555198793955
12,8,64,32,16,1024,0.016083124999966003,0.06561322500004962,256,0.043176000000144654,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00840085744857788,1024,256,0.3725015054639642,1.5196689132812164
12,8,128,32,16,1024,0.016083124999966003,0.06561322500004962,256,0.041752774999892495,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00840085744857788,1024,256,0.38519894785454173,1.5714698005155003
12,8,128,64,16,1024,0.016083124999966003,0.06561322500004962,256,0.060846150000060106,0,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.00840085744857788,1024,256,0.26432444780729947,1.0783463703124159
