batch,block_k,block_m,block_n,cols,dense_full_concat_ms,dense_selected_concat_ms,high_rows_total,latency_ms,layer,low_rows_total,model,module_count,modules,ok,rel_l2_vs_dense_selected_concat,rel_l2_vs_triton_separate,runtime,selected_rows_per_module,selected_rows_total,speedup_vs_dense_full_concat,speedup_vs_dense_selected_concat,speedup_vs_triton_separate,suffixes,triton_separate_selected_ms
12,64,32,16,1024,0.018742174999886174,0.020349587499879362,64,0.16768942499965078,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.1424395740032196,,triton_separate_selected,64,192,0.11176718507994887,0.12135283724612772,1.0,"['q_proj', 'k_proj', 'v_proj']",0.16768942499965078
12,64,32,16,1024,0.018742174999886174,0.020349587499879362,64,0.18504496250031366,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.1424395740032196,0.0,triton_fused_selected,64,192,0.10128443782874881,0.10997104284773421,0.9062090787765517,"['q_proj', 'k_proj', 'v_proj']",0.16768942499965078
12,64,32,16,1024,0.018742174999886174,0.06942196250037114,256,0.018742174999886174,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,256,768,1.0,3.70405049044696,8.405213108967915,"['q_proj', 'k_proj', 'v_proj']",0.15753197499961402
12,64,32,16,1024,0.018742174999886174,0.06942196250037114,256,0.06942196250037114,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,256,768,0.26997472161329317,1.0,2.2691950691940153,"['q_proj', 'k_proj', 'v_proj']",0.15753197499961402
12,64,32,16,1024,0.018742174999886174,0.06942196250037114,256,0.06142625000009616,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.13328085839748383,,cached_selected_concat,256,768,0.3051167049894277,1.1301676807596501,2.564570928542234,"['q_proj', 'k_proj', 'v_proj']",0.15753197499961402
12,64,32,16,1024,0.018742174999886174,0.06942196250037114,256,0.15753197499961402,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.13328085839748383,,triton_separate_selected,256,768,0.11897378294109558,0.4406848990532953,1.0,"['q_proj', 'k_proj', 'v_proj']",0.15753197499961402
12,64,32,16,1024,0.018742174999886174,0.06942196250037114,256,0.09357792499997686,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.13328085839748383,0.0,triton_fused_selected,256,768,0.20028414821006993,0.7418625974062611,1.6834309480537528,"['q_proj', 'k_proj', 'v_proj']",0.15753197499961402
64,64,32,16,1024,0.01699232500058656,0.02134236249986543,16,0.01699232500058656,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,16,48,1.0,1.256000135303951,8.963070091638844,"['q_proj', 'k_proj', 'v_proj']",0.1523034000001644
64,64,32,16,1024,0.01699232500058656,0.02134236249986543,16,0.02134236249986543,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,16,48,0.7961782581798853,1.0,7.13620153350524,"['q_proj', 'k_proj', 'v_proj']",0.1523034000001644
64,64,32,16,1024,0.01699232500058656,0.02134236249986543,16,0.018710975000146846,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12990093231201172,,cached_selected_concat,16,48,0.9081474910021099,1.1406333715745938,8.139789615397868,"['q_proj', 'k_proj', 'v_proj']",0.1523034000001644
64,64,32,16,1024,0.01699232500058656,0.02134236249986543,16,0.1523034000001644,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.1299053132534027,,triton_separate_selected,16,48,0.11156891442061188,0.14013057160800346,1.0,"['q_proj', 'k_proj', 'v_proj']",0.1523034000001644
64,64,32,16,1024,0.01699232500058656,0.02134236249986543,16,0.14594306249975375,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.1299053132534027,0.0,triton_fused_selected,16,48,0.11643119384736245,0.14623759522588778,1.0435809513070988,"['q_proj', 'k_proj', 'v_proj']",0.1523034000001644
64,64,32,16,1024,0.01699232500058656,0.0949194749999549,64,0.01699232500058656,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,64,192,1.0,5.586020453156255,9.583413393681608,"['q_proj', 'k_proj', 'v_proj']",0.1628444750004121
64,64,32,16,1024,0.01699232500058656,0.0949194749999549,64,0.0949194749999549,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,64,192,0.1790183205353236,1.0,1.7156065707326076,"['q_proj', 'k_proj', 'v_proj']",0.1628444750004121
64,64,32,16,1024,0.01699232500058656,0.0949194749999549,64,0.08313304999987281,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.1433386206626892,,cached_selected_concat,64,192,0.2043991529315063,1.1417778488832073,1.9588415798609728,"['q_proj', 'k_proj', 'v_proj']",0.1628444750004121
64,64,32,16,1024,0.01699232500058656,0.0949194749999549,64,0.1628444750004121,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.14333966374397278,,triton_separate_selected,64,192,0.104346954359634,0.5828842212774777,1.0,"['q_proj', 'k_proj', 'v_proj']",0.1628444750004121
