run,block,modules,high_bit_modules,high_bit_ratio,mean_positive_delta_nll
3b_avg3p5,28,7,4,0.5714285714285714,0.0006543984422591821
3b_avg3p5,29,7,3,0.42857142857142855,0.0004428813101057091
3b_avg3p5,30,7,6,0.8571428571428571,0.010308093700992504
3b_avg3p5,31,7,5,0.7142857142857143,0.0009081752305940073
3b_avg3p5,32,7,3,0.42857142857142855,0.0009465566654364313
3b_avg3p5,33,7,5,0.7142857142857143,0.0010551818027132295
3b_avg3p5,34,7,5,0.7142857142857143,0.0009418262146520132
3b_avg3p5,35,7,5,0.7142857142857143,0.0027555214473257627
7b_avg3p5,0,7,1,0.14285714285714285,8.59623392981084e-05
7b_avg3p5,1,7,2,0.2857142857142857,0.0006155793073069507
7b_avg3p5,2,7,4,0.5714285714285714,0.00016177337096705862
7b_avg3p5,3,7,4,0.5714285714285714,0.0005405104081370103
7b_avg3p5,4,7,3,0.42857142857142855,0.0002898896837757776
7b_avg3p5,5,7,3,0.42857142857142855,0.00027826558444919513
7b_avg3p5,6,7,2,0.2857142857142857,0.0003582055520950763
7b_avg3p5,7,7,3,0.42857142857142855,0.00046931919849432395
7b_avg3p5,8,7,3,0.42857142857142855,0.00045691468815015464
7b_avg3p5,9,7,4,0.5714285714285714,0.0010506966172852802
7b_avg3p5,10,7,4,0.5714285714285714,0.0009735490021043981
7b_avg3p5,11,7,2,0.2857142857142857,0.00042156229775239647
7b_avg3p5,12,7,4,0.5714285714285714,0.0006152196905101651
7b_avg3p5,13,7,3,0.42857142857142855,0.0009545593250079547
7b_avg3p5,14,7,3,0.42857142857142855,0.0004547372268685861
7b_avg3p5,15,7,4,0.5714285714285714,0.0005859041475363266
7b_avg3p5,16,7,4,0.5714285714285714,0.000582107629645596
7b_avg3p5,17,7,1,0.14285714285714285,0.00030458106790863326
7b_avg3p5,18,7,2,0.2857142857142857,0.0003269494425277892
7b_avg3p5,19,7,3,0.42857142857142855,0.0006011572035255089
7b_avg3p5,20,7,4,0.5714285714285714,0.00047853360176177063
7b_avg3p5,21,7,4,0.5714285714285714,0.0004358158291480737
7b_avg3p5,22,7,3,0.42857142857142855,0.0003718562594248504
7b_avg3p5,23,7,4,0.5714285714285714,0.0006021785872493293
7b_avg3p5,24,7,4,0.5714285714285714,0.0006660056094640281
7b_avg3p5,25,7,4,0.5714285714285714,0.0007219888383328385
7b_avg3p5,26,7,5,0.7142857142857143,0.0036260399450300162
7b_avg3p5,27,7,6,0.8571428571428571,0.0022165910565258456
phi3_mini_avg3,0,4,0,0.0,0.011899485022252021
phi3_mini_avg3,1,4,3,0.75,0.03534411544319449
phi3_mini_avg3,2,4,3,0.75,0.04777947082839329
phi3_mini_avg3,3,4,2,0.5,0.03398332532775561
phi3_mini_avg3,4,4,3,0.75,0.04151779021600588
phi3_mini_avg3,5,4,0,0.0,0.02344203003831491
phi3_mini_avg3,6,4,2,0.5,0.0324837337435917
phi3_mini_avg3,7,4,4,1.0,0.05114684047151019
phi3_mini_avg3,8,4,2,0.5,0.03258046919364188
phi3_mini_avg3,9,4,2,0.5,0.025070273222943973
phi3_mini_avg3,10,4,2,0.5,0.030404540780228917
phi3_mini_avg3,11,4,0,0.0,0.014321094848045002
phi3_mini_avg3,12,4,0,0.0,0.013981343002232194
phi3_mini_avg3,13,4,1,0.25,0.019885562027163628
phi3_mini_avg3,14,4,2,0.5,0.024722850419410358
phi3_mini_avg3,15,4,1,0.25,0.02829780205352994
phi3_mini_avg3,16,4,0,0.0,0.021980883742529267
phi3_mini_avg3,17,4,2,0.5,0.029074080576846018
phi3_mini_avg3,18,4,2,0.5,0.021869722046892304
phi3_mini_avg3,19,4,3,0.75,0.028584185573338416
phi3_mini_avg3,20,4,2,0.5,0.026653852703754644
phi3_mini_avg3,21,4,3,0.75,0.03632417545860045
phi3_mini_avg3,22,4,2,0.5,0.03064140045737096
phi3_mini_avg3,23,4,2,0.5,0.031986729935575275
phi3_mini_avg3,24,4,1,0.25,0.03057583323969315
phi3_mini_avg3,25,4,3,0.75,0.04590231912249165
phi3_mini_avg3,26,4,2,0.5,0.03091197262640999
phi3_mini_avg3,27,4,2,0.5,0.03526725213377535
phi3_mini_avg3,28,4,2,0.5,0.033014811055415705
phi3_mini_avg3,29,4,4,1.0,0.08008266356138916
phi3_mini_avg3,30,4,4,1.0,0.09812840043425941
phi3_mini_avg3,31,4,4,1.0,0.3876242478832098
